textage_id,alias,alias_scope,alias_type,note
_tstrong,合体せよ！ストロングイェーガー！！,inf,manual,alias:[合体せよ!ストロングイェーガー!!]
_tsj_ryu,合体せよ！ストロングイェーガー！！ (Ryu☆ remix),inf,manual,alias:[合体せよ!ストロングイェーガー!! (Ryu☆ remix)]
_taiyo,太陽～T・A・I・Y・O～,inf,manual,alias:[太陽 ～T・A・I・Y・O～]
_koisuru,恋する☆宇宙戦争っ！！,inf,manual,alias:[恋する☆宇宙戦争っ!!]
_r_s_x_n,恋愛＝精度×認識力,inf,manual,alias:[恋愛=精度×認識力]
_s_dogma,旋律のドグマ～Miserables～,inf,manual,alias:[旋律のドグマ ～Misérables～]
_suijo17,"水上の提督(Short mix from ""幻想水滸伝V"")",inf,manual,"alias:[水上の提督 (Short mix from ""幻想水滸伝V"")]"
_hikage,火影,inf,manual,alias:[焱影]
_jfinala,炸裂！イェーガー電光チョップ！！(JAEGER FINAL ATTACK),inf,manual,alias:[炸裂！イェーガー電光チョップ!! (JAEGER FINAL ATTACK)]
_rovknee,突撃!ガラスのニーソ姫!,inf,manual,alias:[突撃！ガラスのニーソ姫！]
_psougen,草原の王女-軌跡を辿って-,inf,manual,alias:[草原の王女 -軌跡を辿って-]
_hyouri,表裏一体！？怪盗いいんちょの悩み,inf,manual,alias:[表裏一体!?怪盗いいんちょの悩み♥]
_cholove,超!!遠距離らぶメ～ル,inf,manual,alias:[超!!遠距離らぶ♥メ～ル]
_tkotome,鉄甲乙女-under the steel-,inf,manual,alias:[鉄甲乙女 -under the steel-]
_zero,零 - ZERO -,inf,manual,alias:[零 -ZERO-]
_theme_j,電人イェーガーのテーマ(Theme of DENJIN J),inf,manual,alias:[電人イェーガーのテーマ (Theme of DENJIN J)]
_mausole,龍王の霊廟(Mausoleum Of The Primal Dragon),inf,manual,alias:[龍王の霊廟 (Mausoleum Of The Primal Dragon)]
ultimate,ＵＬＴｉＭΛＴＥ,inf,manual,alias:[ULTiMΛTE]
